MeterID,Date,Hour,Usage
E101,2021-01-01,0,0.623588321
E101,2021-01-01,1,0.41238487
E101,2021-01-01,2,0.50263471
E101,2021-01-01,3,0.411972826
E101,2021-01-01,4,0.272102022
E101,2021-01-01,5,0.369091228
E101,2021-01-01,6,0.457185337
E101,2021-01-01,7,0.74956993
E101,2021-01-01,8,0.451981926
E101,2021-01-01,9,0.723500836
E101,2021-01-01,10,0.488767389
E101,2021-01-01,11,0.46046123
E101,2021-01-01,12,0.626172136
E101,2021-01-01,13,0.425579938
E101,2021-01-01,14,0.284930528
E101,2021-01-01,15,0.578943081
E101,2021-01-01,16,0.675017261
E101,2021-01-01,17,0.541427041
E101,2021-01-01,18,0.722625903
E101,2021-01-01,19,0.4261927
E101,2021-01-01,20,0.648343663
E101,2021-01-01,21,0.633762138
E101,2021-01-01,22,0.692886446
E101,2021-01-01,23,0.254177205
E101,2021-01-02,0,0.731071503
E101,2021-01-02,1,0.587566229
E101,2021-01-02,2,0.656624653
E101,2021-01-02,3,0.632367706
E101,2021-01-02,4,0.575651625
E101,2021-01-02,5,0.588607263
E101,2021-01-02,6,0.31921668
E101,2021-01-02,7,0.606229923
E101,2021-01-02,8,0.60802424
E101,2021-01-02,9,0.547990343
E101,2021-01-02,10,0.380882249
E101,2021-01-02,11,0.250709445
E101,2021-01-02,12,0.279166854
E101,2021-01-02,13,0.613934685
E101,2021-01-02,14,0.654786164
E101,2021-01-02,15,0.502705769
E101,2021-01-02,16,0.714746988
E101,2021-01-02,17,0.524674244
E101,2021-01-02,18,0.641223827
E101,2021-01-02,19,0.279935317
E101,2021-01-02,20,0.258705279
E101,2021-01-02,21,0.301529156
E101,2021-01-02,22,0.390494317
E101,2021-01-02,23,0.421811389
E101,2021-01-03,0,0.691740322
E101,2021-01-03,1,0.301695695
E101,2021-01-03,2,0.694068152
E101,2021-01-03,3,0.378768378
E101,2021-01-03,4,0.66296083
E101,2021-01-03,5,0.5193717
E101,2021-01-03,6,0.566425597
E101,2021-01-03,7,0.445685793
E101,2021-01-03,8,0.636065441
E101,2021-01-03,9,0.251527932
E101,2021-01-03,10,0.335127768
E101,2021-01-03,11,0.294055332
E101,2021-01-03,12,0.376180035
E101,2021-01-03,13,0.601449249
E101,2021-01-03,14,0.319120586
E101,2021-01-03,15,0.47693527
E101,2021-01-03,16,0.49437597
E101,2021-01-03,17,0.258660113
E101,2021-01-03,18,0.729214179
E101,2021-01-03,19,0.519087652
E101,2021-01-03,20,0.388287272
E101,2021-01-03,21,0.734321057
E101,2021-01-03,22,0.332719045
E101,2021-01-03,23,0.386690762
E101,2021-01-04,0,0.686120589
E101,2021-01-04,1,0.448283118
E101,2021-01-04,2,0.489427824
E101,2021-01-04,3,0.643888604
E101,2021-01-04,4,0.516214859
E101,2021-01-04,5,0.38018175
E101,2021-01-04,6,0.295897038
E101,2021-01-04,7,0.703682548
E101,2021-01-04,8,0.405053609
E101,2021-01-04,9,0.605630437
E101,2021-01-04,10,0.741976889
E101,2021-01-04,11,0.32148263
E101,2021-01-04,12,0.648792577
E101,2021-01-04,13,0.681917984
E101,2021-01-04,14,0.737614697
E101,2021-01-04,15,0.336019534
E101,2021-01-04,16,0.315339707
E101,2021-01-04,17,0.254753494
E101,2021-01-04,18,0.438852978
E101,2021-01-04,19,0.256571232
E101,2021-01-04,20,0.470605184
E101,2021-01-04,21,0.543923157
E101,2021-01-04,22,0.422010866
E101,2021-01-04,23,0.730514985
E101,2021-01-05,0,0.533313514
E101,2021-01-05,1,0.637177486
E101,2021-01-05,2,0.685985901
E101,2021-01-05,3,0.435850526
E101,2021-01-05,4,0.27516304
E101,2021-01-05,5,0.486613073
E101,2021-01-05,6,0.436036833
E101,2021-01-05,7,0.727228572
E101,2021-01-05,8,0.407217863
E101,2021-01-05,9,0.552279638
E101,2021-01-05,10,0.463752775
E101,2021-01-05,11,0.620798888
E101,2021-01-05,12,0.297919427
E101,2021-01-05,13,0.506174372
E101,2021-01-05,14,0.347443508
E101,2021-01-05,15,0.733868322
E101,2021-01-05,16,0.741365911
E101,2021-01-05,17,0.569470435
E101,2021-01-05,18,0.435678029
E101,2021-01-05,19,0.60080851
E101,2021-01-05,20,0.575043826
E101,2021-01-05,21,0.680857869
E101,2021-01-05,22,0.58078188
E101,2021-01-05,23,0.271576727
E101,2021-01-06,0,0.655167336
E101,2021-01-06,1,0.633957804
E101,2021-01-06,2,0.608774563
E101,2021-01-06,3,0.354683938
E101,2021-01-06,4,0.713102096
E101,2021-01-06,5,0.482321879
E101,2021-01-06,6,0.592310461
E101,2021-01-06,7,0.300726614
E101,2021-01-06,8,0.676573945
E101,2021-01-06,9,0.323533115
E101,2021-01-06,10,0.460503579
E101,2021-01-06,11,0.645248162
E101,2021-01-06,12,0.57816981
E101,2021-01-06,13,0.310672284
E101,2021-01-06,14,0.584406287
E101,2021-01-06,15,0.313341216
E101,2021-01-06,16,0.569038514
E101,2021-01-06,17,0.313708416
E101,2021-01-06,18,0.522367701
E101,2021-01-06,19,0.356662535
E101,2021-01-06,20,0.665436834
E101,2021-01-06,21,0.299373916
E101,2021-01-06,22,0.74227873
E101,2021-01-06,23,0.252669539
E101,2021-01-07,0,0.326102495
E101,2021-01-07,1,0.561260651
E101,2021-01-07,2,0.391252671
E101,2021-01-07,3,0.284632321
E101,2021-01-07,4,0.437755719
E101,2021-01-07,5,0.608864654
E101,2021-01-07,6,0.561527523
E101,2021-01-07,7,0.672195092
E101,2021-01-07,8,0.669481086
E101,2021-01-07,9,0.509090193
E101,2021-01-07,10,0.372227887
E101,2021-01-07,11,0.38024543
E101,2021-01-07,12,0.713779003
E101,2021-01-07,13,0.525959807
E101,2021-01-07,14,0.471075722
E101,2021-01-07,15,0.606136348
E101,2021-01-07,16,0.740066882
E101,2021-01-07,17,0.742354573
E101,2021-01-07,18,0.415349695
E101,2021-01-07,19,0.590560178
E101,2021-01-07,20,0.41600828
E101,2021-01-07,21,0.52340229
E101,2021-01-07,22,0.72903251
E101,2021-01-07,23,0.56091675
E101,2021-01-08,0,0.520927529
E101,2021-01-08,1,0.280724863
E101,2021-01-08,2,0.647227862
E101,2021-01-08,3,0.487457191
E101,2021-01-08,4,0.446053882
E101,2021-01-08,5,0.444351883
E101,2021-01-08,6,0.405259753
E101,2021-01-08,7,0.313190538
E101,2021-01-08,8,0.485293704
E101,2021-01-08,9,0.433429896
E101,2021-01-08,10,0.615638537
E101,2021-01-08,11,0.561207544
E101,2021-01-08,12,0.731827035
E101,2021-01-08,13,0.531409891
E101,2021-01-08,14,0.476670725
E101,2021-01-08,15,0.632922558
E101,2021-01-08,16,0.606954139
E101,2021-01-08,17,0.471696476
E101,2021-01-08,18,0.581020809
E101,2021-01-08,19,0.372310245
E101,2021-01-08,20,0.527733375
E101,2021-01-08,21,0.272573478
E101,2021-01-08,22,0.731569272
E101,2021-01-08,23,0.313556247
E101,2021-01-09,0,0.599300425
E101,2021-01-09,1,0.466824635
E101,2021-01-09,2,0.267361757
E101,2021-01-09,3,0.481366912
E101,2021-01-09,4,0.655703871
E101,2021-01-09,5,0.502416385
E101,2021-01-09,6,0.55534019
E101,2021-01-09,7,0.605362749
E101,2021-01-09,8,0.601740988
E101,2021-01-09,9,0.30588559
E101,2021-01-09,10,0.371023093
E101,2021-01-09,11,0.545806424
E101,2021-01-09,12,0.494143531
E101,2021-01-09,13,0.554015064
E101,2021-01-09,14,0.393751628
E101,2021-01-09,15,0.547894445
E101,2021-01-09,16,0.387327722
E101,2021-01-09,17,0.589954735
E101,2021-01-09,18,0.635550397
E101,2021-01-09,19,0.532465833
E101,2021-01-09,20,0.491707989
E101,2021-01-09,21,0.558444129
E101,2021-01-09,22,0.277571284
E101,2021-01-09,23,0.296538898
E101,2021-01-10,0,0.376541539
E101,2021-01-10,1,0.338065686
E101,2021-01-10,2,0.480333652
E101,2021-01-10,3,0.365538036
E101,2021-01-10,4,0.347063933
E101,2021-01-10,5,0.316483382
E101,2021-01-10,6,0.368080994
E101,2021-01-10,7,0.71353005
E101,2021-01-10,8,0.370434264
E101,2021-01-10,9,0.606466975
E101,2021-01-10,10,0.348351192
E101,2021-01-10,11,0.387420913
E101,2021-01-10,12,0.447145923
E101,2021-01-10,13,0.306258017
E101,2021-01-10,14,0.341678924
E101,2021-01-10,15,0.394487094
E101,2021-01-10,16,0.261873904
E101,2021-01-10,17,0.729138318
E101,2021-01-10,18,0.282238019
E101,2021-01-10,19,0.58155202
E101,2021-01-10,20,0.63030006
E101,2021-01-10,21,0.518930254
E101,2021-01-10,22,0.32380513
E101,2021-01-10,23,0.376672535
E101,2021-01-11,0,0.456225503
E101,2021-01-11,1,0.702208531
E101,2021-01-11,2,0.292251828
E101,2021-01-11,3,0.575502144
E101,2021-01-11,4,0.356570394
E101,2021-01-11,5,0.733199855
E101,2021-01-11,6,0.262524516
E101,2021-01-11,7,0.417318741
E101,2021-01-11,8,0.502471294
E101,2021-01-11,9,0.353742551
E101,2021-01-11,10,0.572374172
E101,2021-01-11,11,0.547270879
E101,2021-01-11,12,0.640422623
E101,2021-01-11,13,0.296477415
E101,2021-01-11,14,0.413043096
E101,2021-01-11,15,0.3021695
E101,2021-01-11,16,0.490465111
E101,2021-01-11,17,0.738200364
E101,2021-01-11,18,0.646994866
E101,2021-01-11,19,0.33651229
E101,2021-01-11,20,0.729649539
E101,2021-01-11,21,0.34536005
E101,2021-01-11,22,0.703518306
E101,2021-01-11,23,0.307369757
E101,2021-01-12,0,0.420646891
